# integral[ exp(-x*t) / t^n, x=1..inf ]
# x                       n=1                       n=2                       n=3
2.330000000000000071e+00  3.122225244141637115e-02  2.454789890103256655e-02  2.004957132506343664e-02
2.339999999999999858e+00  3.080764267961732042e-02  2.423775436018859100e-02  1.980564651382586347e-02
2.350000000000000089e+00  3.039890883162246760e-02  2.393172646123679567e-02  1.956480251582157215e-02
2.359999999999999876e+00  2.999596029531612432e-02  2.362975689935633422e-02  1.932699845691069826e-02
2.370000000000000107e+00  2.959870802113892529e-02  2.333178826795921298e-02  1.909219404149758992e-02
2.379999999999999893e+00  2.920706448194416646e-02  2.303776404331613417e-02  1.886034954362543828e-02
2.390000000000000124e+00  2.882094364352486004e-02  2.274762856948039577e-02  1.863142579822333472e-02
2.399999999999999911e+00  2.844026093579566858e-02  2.246132704350289541e-02  1.840538419250277447e-02
2.410000000000000142e+00  2.806493322461209305e-02  2.217880550093247194e-02  1.818218665750017185e-02
2.419999999999999929e+00  2.769487878421136168e-02  2.190001080159485400e-02  1.796179565976337850e-02
2.430000000000000160e+00  2.733001727025867814e-02  2.162489061564396020e-02  1.774417419317884589e-02
2.439999999999999947e+00  2.697026969348407383e-02  2.135339340988011772e-02  1.752928577093690321e-02
2.450000000000000178e+00  2.661555839389466785e-02  2.108546843432855186e-02  1.731709441763274945e-02
2.459999999999999964e+00  2.626580701554784292e-02  2.082106570907355306e-02  1.710756466150014157e-02
2.470000000000000195e+00  2.592094048187174038e-02  2.056013601134149688e-02  1.690066152677558234e-02
2.479999999999999982e+00  2.558088497151914456e-02  2.030263086282851903e-02  1.669635052619058632e-02
2.490000000000000213e+00  2.524556789474129842e-02  2.004850251726679466e-02  1.649459765358916516e-02
2.500000000000000000e+00  2.491491787026972257e-02  1.979770394822444671e-02  1.629536937666883553e-02
2.510000000000000231e+00  2.458886470269214947e-02  1.955018883713439265e-02  1.609863262984216267e-02
2.520000000000000018e+00  2.426733936031174807e-02  1.930591156154684920e-02  1.590435480721718794e-02
2.530000000000000249e+00  2.395027395347712473e-02  1.906482718360085968e-02  1.571250375569390942e-02
2.540000000000000036e+00  2.363760171337187313e-02  1.882689143871043094e-02  1.552304776817522991e-02
2.550000000000000266e+00  2.332925697125216510e-02  1.859206072446011743e-02  1.533595557688992479e-02
2.560000000000000053e+00  2.302517513812233838e-02  1.836029208970649945e-02  1.515119634682554617e-02
2.569999999999999840e+00  2.272529268483699030e-02  1.813154322388044540e-02  1.496873966926937430e-02
2.580000000000000071e+00  2.242954712261982508e-02  1.790577244648634825e-02  1.478855555545535196e-02
2.589999999999999858e+00  2.213787698398951218e-02  1.768293869679414890e-02  1.461061443031503107e-02
2.600000000000000089e+00  2.185022180408219272e-02  1.746300152372017023e-02  1.443488712633070499e-02
2.609999999999999876e+00  2.156652210236185280e-02  1.724592107589260903e-02  1.426134487748869847e-02
2.620000000000000107e+00  2.128671936470893575e-02  1.703165809189815041e-02  1.408995931333124375e-02
2.629999999999999893e+00  2.101075602587839861e-02  1.682017389070586399e-02  1.392070245310483324e-02
2.640000000000000124e+00  2.073857545231871588e-02  1.661143036226464184e-02  1.375354670000369060e-02
2.649999999999999911e+00  2.047012192534297670e-02  1.640538995827070176e-02  1.358846483550613278e-02
2.660000000000000142e+00  2.020534062464427946e-02  1.620201568310155466e-02  1.342543001380261912e-02
2.669999999999999929e+00  1.994417761214703835e-02  1.600127108491340364e-02  1.326441575631361232e-02
2.680000000000000160e+00  1.968657981618651687e-02  1.580312024689802322e-02  1.310539594629559629e-02
2.689999999999999947e+00  1.943249501600925050e-02  1.560752777869657722e-02  1.294834482353382672e-02
2.700000000000000178e+00  1.918187182658638579e-02  1.541445880796653810e-02  1.279323697912005016e-02
2.709999999999999964e+00  1.893465968373345826e-02  1.522387897209920120e-02  1.264004735031401191e-02
2.720000000000000195e+00  1.869080882952888628e-02  1.503575441008437111e-02  1.248875121548673195e-02
2.729999999999999982e+00  1.845027029802497748e-02  1.485005175451939267e-02  1.233932418914480099e-02
2.740000000000000213e+00  1.821299590124407161e-02  1.466673812375970248e-02  1.219174221703344871e-02
2.750000000000000000e+00  1.797893821545440071e-02  1.448578111420795005e-02  1.204598157131784447e-02
2.760000000000000231e+00  1.774805056771798853e-02  1.430714879273904672e-02  1.190201884584045702e-02
2.770000000000000018e+00  1.752028702270569394e-02  1.413080968925836504e-02  1.175983095145374802e-02
2.780000000000000249e+00  1.729560236977260163e-02  1.395673278939045178e-02  1.161939511142641608e-02
2.790000000000000036e+00  1.707395211028828533e-02  1.378488752729579644e-02  1.148068885692240734e-02
2.800000000000000266e+00  1.685529244521604894e-02  1.361524377861301517e-02  1.134369002255074602e-02
2.810000000000000053e+00  1.663958026293579917e-02  1.344777185352389638e-02  1.120837674198568550e-02
2.819999999999999840e+00  1.642677312730500896e-02  1.328244248993921267e-02  1.107472744365538102e-02
2.830000000000000071e+00  1.621682926595234900e-02  1.311922684680268819e-02  1.094272084649812807e-02
2.839999999999999858e+00  1.600970755879933122e-02  1.295809649751074495e-02  1.081233595578517948e-02
2.850000000000000089e+00  1.580536752680430576e-02  1.279902342344616840e-02  1.068355205900844464e-02
