#table for dust H2 formation
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#flux: HM2012
#columns: ngas (cm-3), Tgas (K), H2 (1/s)

          30 ,          30
 -0.18620690E+001  0.46206897E+001 -0.20830149E+002
 -0.18620690E+001  0.48620690E+001 -0.21201247E+002
 -0.18620690E+001  0.51034483E+001 -0.21573072E+002
 -0.18620690E+001  0.53448276E+001 -0.21945493E+002
 -0.18620690E+001  0.55862069E+001 -0.22318448E+002
 -0.18620690E+001  0.58275862E+001 -0.22691907E+002
 -0.18620690E+001  0.60689655E+001 -0.23065853E+002
 -0.18620690E+001  0.63103448E+001 -0.23440280E+002
 -0.18620690E+001  0.65517241E+001 -0.23815181E+002
 -0.18620690E+001  0.67931034E+001 -0.24190550E+002
 -0.18620690E+001  0.70344828E+001 -0.24566381E+002
 -0.18620690E+001  0.72758621E+001 -0.24942667E+002
 -0.18620690E+001  0.75172414E+001 -0.25319398E+002
 -0.18620690E+001  0.77586207E+001 -0.25696563E+002
 -0.18620690E+001  0.80000000E+001 -0.26074147E+002
 
 -0.14482759E+001  0.10000000E+001 -0.17943365E+002
 -0.14482759E+001  0.12413793E+001 -0.17848951E+002
 -0.14482759E+001  0.14827586E+001 -0.17766555E+002
 -0.14482759E+001  0.17241379E+001 -0.17736489E+002
 -0.14482759E+001  0.19655172E+001 -0.17708217E+002
 -0.14482759E+001  0.22068966E+001 -0.17684942E+002
 -0.14482759E+001  0.24482759E+001 -0.17715315E+002
 -0.14482759E+001  0.26896552E+001 -0.17824307E+002
 -0.14482759E+001  0.29310345E+001 -0.18021998E+002
 -0.14482759E+001  0.31724138E+001 -0.18294363E+002
 -0.14482759E+001  0.34137931E+001 -0.18615134E+002
 -0.14482759E+001  0.36551724E+001 -0.18962089E+002
 -0.14482759E+001  0.38965517E+001 -0.19321892E+002
 -0.14482759E+001  0.41379310E+001 -0.19687824E+002
 -0.14482759E+001  0.43793103E+001 -0.20056781E+002
 -0.14482759E+001  0.46206897E+001 -0.20427375E+002
 -0.14482759E+001  0.48620690E+001 -0.20798986E+002
 -0.14482759E+001  0.51034483E+001 -0.21171331E+002
 -0.14482759E+001  0.53448276E+001 -0.21544278E+002
 -0.14482759E+001  0.55862069E+001 -0.21917764E+002
 -0.14482759E+001  0.58275862E+001 -0.22291757E+002
 -0.14482759E+001  0.60689655E+001 -0.22666238E+002
 -0.14482759E+001  0.63103448E+001 -0.23041199E+002
 -0.14482759E+001  0.65517241E+001 -0.23416631E+002
 -0.14482759E+001  0.67931034E+001 -0.23792525E+002
