#table for averaged Tdust
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#flux: HM2012
#columns: ngas (cm-3), Tgas (K), <Tdust> (K)

          30 ,          30
 -0.22758621E+001  0.10000000E+001  0.10213350E+001
 -0.22758621E+001  0.12413793E+001  0.12627143E+001
 -0.22758621E+001  0.14827586E+001  0.15040937E+001
 -0.22758621E+001  0.17241379E+001  0.17448464E+001
 -0.22758621E+001  0.19655172E+001  0.18124213E+001
 -0.22758621E+001  0.22068966E+001  0.18291386E+001
 -0.22758621E+001  0.24482759E+001  0.18421033E+001
 -0.22758621E+001  0.26896552E+001  0.18539289E+001
 -0.22758621E+001  0.29310345E+001  0.18653624E+001
 -0.22758621E+001  0.31724138E+001  0.18767188E+001
 -0.22758621E+001  0.34137931E+001  0.18881580E+001
 -0.22758621E+001  0.36551724E+001  0.18997722E+001
 -0.22758621E+001  0.38965517E+001  0.19116193E+001
 -0.22758621E+001  0.41379310E+001  0.19237399E+001
 -0.22758621E+001  0.43793103E+001  0.19361649E+001
 -0.22758621E+001  0.46206897E+001  0.19489206E+001
 -0.22758621E+001  0.48620690E+001  0.19620308E+001
 -0.22758621E+001  0.51034483E+001  0.19755190E+001
 -0.22758621E+001  0.53448276E+001  0.19894088E+001
 -0.22758621E+001  0.55862069E+001  0.20037251E+001
 -0.22758621E+001  0.58275862E+001  0.20184943E+001
 -0.22758621E+001  0.60689655E+001  0.20337449E+001
 -0.22758621E+001  0.63103448E+001  0.20495076E+001
 -0.22758621E+001  0.65517241E+001  0.20658162E+001
 -0.22758621E+001  0.67931034E+001  0.20827075E+001
 -0.22758621E+001  0.70344828E+001  0.21002219E+001
 -0.22758621E+001  0.72758621E+001  0.21184040E+001
 -0.22758621E+001  0.75172414E+001  0.21373028E+001
 -0.22758621E+001  0.77586207E+001  0.21569728E+001
 -0.22758621E+001  0.80000000E+001  0.21774742E+001
 
 -0.18620690E+001  0.10000000E+001  0.10213350E+001
 -0.18620690E+001  0.12413793E+001  0.12627143E+001
 -0.18620690E+001  0.14827586E+001  0.15040937E+001
 -0.18620690E+001  0.17241379E+001  0.17452186E+001
 -0.18620690E+001  0.19655172E+001  0.18228844E+001
 -0.18620690E+001  0.22068966E+001  0.18404068E+001
 -0.18620690E+001  0.24482759E+001  0.18538198E+001
 -0.18620690E+001  0.26896552E+001  0.18660111E+001
 -0.18620690E+001  0.29310345E+001  0.18777844E+001
 -0.18620690E+001  0.31724138E+001  0.18894751E+001
 -0.18620690E+001  0.34137931E+001  0.19012529E+001
 -0.18620690E+001  0.36551724E+001  0.19132155E+001
 -0.18620690E+001  0.38965517E+001  0.19254246E+001
 -0.18620690E+001  0.41379310E+001  0.19379234E+001
 -0.18620690E+001  0.43793103E+001  0.19507452E+001
 -0.18620690E+001  0.46206897E+001  0.19639182E+001
 -0.18620690E+001  0.48620690E+001  0.19774685E+001
 -0.18620690E+001  0.51034483E+001  0.19914214E+001
 -0.18620690E+001  0.53448276E+001  0.20058031E+001
 -0.18620690E+001  0.55862069E+001  0.20206406E+001
 -0.18620690E+001  0.58275862E+001  0.20359632E+001
 -0.18620690E+001  0.60689655E+001  0.20518023E+001
 -0.18620690E+001  0.63103448E+001  0.20681922E+001
 -0.18620690E+001  0.65517241E+001  0.20851701E+001
 -0.18620690E+001  0.67931034E+001  0.21027772E+001
 -0.18620690E+001  0.70344828E+001  0.21210586E+001
 -0.18620690E+001  0.72758621E+001  0.21400642E+001
 -0.18620690E+001  0.75172414E+001  0.21598491E+001
 -0.18620690E+001  0.77586207E+001  0.21804747E+001
 -0.18620690E+001  0.80000000E+001  0.22020090E+001
 
 -0.14482759E+001  0.10000000E+001  0.10213350E+001
 -0.14482759E+001  0.12413793E+001  0.12627143E+001
 -0.14482759E+001  0.14827586E+001  0.15040937E+001
 -0.14482759E+001  0.17241379E+001  0.17453725E+001
 -0.14482759E+001  0.19655172E+001  0.18335363E+001
 -0.14482759E+001  0.22068966E+001  0.18519486E+001
 -0.14482759E+001  0.24482759E+001  0.18658416E+001
 -0.14482759E+001  0.26896552E+001  0.18784212E+001
 -0.14482759E+001  0.29310345E+001  0.18905543E+001
 -0.14482759E+001  0.31724138E+001  0.19025985E+001
 -0.14482759E+001  0.34137931E+001  0.19147347E+001
 -0.14482759E+001  0.36551724E+001  0.19270662E+001
 -0.14482759E+001  0.38965517E+001  0.19396589E+001
 -0.14482759E+001  0.41379310E+001  0.19525591E+001
 -0.14482759E+001  0.43793103E+001  0.19658024E+001
 -0.14482759E+001  0.46206897E+001  0.19794196E+001
 -0.14482759E+001  0.48620690E+001  0.19934387E+001
 -0.14482759E+001  0.51034483E+001  0.20078878E+001
 -0.14482759E+001  0.53448276E+001  0.20227953E+001
 -0.14482759E+001  0.55862069E+001  0.20381912E+001
 -0.14482759E+001  0.58275862E+001  0.20541077E+001
 -0.14482759E+001  0.60689655E+001  0.20705798E+001
 -0.14482759E+001  0.63103448E+001  0.20876453E+001
 -0.14482759E+001  0.65517241E+001  0.21053461E+001
 -0.14482759E+001  0.67931034E+001  0.21237279E+001
 -0.14482759E+001  0.70344828E+001  0.21428414E+001
 -0.14482759E+001  0.72758621E+001  0.21627426E+001
 -0.14482759E+001  0.75172414E+001  0.21834936E+001
 -0.14482759E+001  0.77586207E+001  0.22051637E+001
 -0.14482759E+001  0.80000000E+001  0.22278299E+001
 
 -0.10344828E+001  0.10000000E+001  0.10213350E+001
